id,n_vulns,vulns,total_cvss,max_cvss,site,Domain Name,Domain Type,Agency,Organization,City,State,Security Contact Email
4428,0,set(),0,0,VOTE.GOV,VOTE.GOV,Federal Agency - Executive,General Services Administration,"Office of Citizen Services and Innovative Technologies, GSA",Washington,DC,tts-vulnerability-reports@gsa.gov
4429,0,set(),0,0,VOTEBYMAIL.GOV,VOTEBYMAIL.GOV,Federal Agency - Executive,Election Assistance Commission,U. S. ELECTION ASSISTANCE COMMISSION,Silver Spring,MD,(blank)
4430,0,set(),0,0,VT.GOV,VT.GOV,State/Local Govt,Non-Federal Agency,Vermont Department of Information and Innovation on behalf of Vermont Secretary of State,Montpelier,VT,(blank)
4431,3,"{'CVE-2019-6338', 'CVE-2019-6339', 'CVE-2019-6341'}",17,7.5,VTALERT.GOV,VTALERT.GOV,State/Local Govt,Non-Federal Agency,Vermont Department of Information & Innovation,Montpelier,VT,(blank)
4432,0,set(),0,0,WA.GOV,WA.GOV,State/Local Govt,Non-Federal Agency,State of Washington - Consolidated Technology Services,Olympia,WA,(blank)
4433,0,set(),0,0,WAITEHILLOH.GOV,WAITEHILLOH.GOV,City,Non-Federal Agency,Village of Waite Hill,Waite Hill,OH,(blank)
4434,5,"{'CVE-2010-3972', 'CVE-2012-2531', 'CVE-2010-1899', 'CVE-2010-1256', 'CVE-2010-2730'}",34.2,10,WAKECOUNTYNC.GOV,WAKECOUNTYNC.GOV,County,Non-Federal Agency,Wake County,Raleigh,NC,(blank)
4435,0,set(),0,0,WAKEFORESTNC.GOV,WAKEFORESTNC.GOV,City,Non-Federal Agency,TOWN OF WAKE FOREST,WAKE FOREST,NC,itwebmail@wakeforestnc.gov
4436,0,set(),0,0,WALDENTN.GOV,WALDENTN.GOV,City,Non-Federal Agency,Town of Walden,Signal Mountain,TN,(blank)
4437,0,set(),0,0,WALDOCOUNTYME.GOV,WALDOCOUNTYME.GOV,County,Non-Federal Agency,County of Waldo,Belfast,ME,(blank)
4438,0,set(),0,0,WALKERCOUNTYGA.GOV,WALKERCOUNTYGA.GOV,County,Non-Federal Agency,Walker County Government,LaFayette,GA,(blank)
4439,5,"{'CVE-2010-3972', 'CVE-2012-2531', 'CVE-2010-1899', 'CVE-2010-1256', 'CVE-2010-2730'}",34.2,10,WALKERSVILLEMD.GOV,WALKERSVILLEMD.GOV,City,Non-Federal Agency,"Burgess & Commissioners of Walkersville, MD",Walkersville,MD,(blank)
4440,0,set(),0,0,WALLACENC.GOV,WALLACENC.GOV,City,Non-Federal Agency,Town of Wallace,Wallace,NC,(blank)
4441,0,set(),0,0,WALLAWALLAWA.GOV,WALLAWALLAWA.GOV,City,Non-Federal Agency,City of Walla Walla,Walla Walla,WA,(blank)
4442,0,set(),0,0,WALPOLE-MA.GOV,WALPOLE-MA.GOV,State/Local Govt,Non-Federal Agency,Town of Walpole,Walpole,MA,(blank)
4443,0,set(),0,0,WALTONCOUNTYGA.GOV,WALTONCOUNTYGA.GOV,County,Non-Federal Agency,Walton County Board of Commissioners,Monroe,GA,(blank)
4444,0,set(),0,0,WALTONHILLSOHIO.GOV,WALTONHILLSOHIO.GOV,City,Non-Federal Agency,Village of Walton Hills,Walton Hills,OH,(blank)
4445,5,"{'CVE-2010-3972', 'CVE-2012-2531', 'CVE-2010-1899', 'CVE-2010-1256', 'CVE-2010-2730'}",34.2,10,WAMPANOAGTRIBE-NSN.GOV,WAMPANOAGTRIBE-NSN.GOV,Native Sovereign Nation,Indian Affairs,Wampanoag Tribe of Gay Head (Aquinnah),Aquinnah,MA,(blank)
4446,0,set(),0,0,WANATAH-IN.GOV,WANATAH-IN.GOV,City,Non-Federal Agency,"Town of Wanatah, Indiana",Wanatah,IN,(blank)
4447,0,set(),0,0,WAPA.GOV,WAPA.GOV,Federal Agency - Executive,Department of Energy,Western Area Power Administration,Lakewood,CO,ITNetwork@wapa.gov
4448,0,set(),0,0,WAPPINGERSFALLSNY.GOV,WAPPINGERSFALLSNY.GOV,City,Non-Federal Agency,Village of Wappingers falls,Wappingers Falls,NY,(blank)
4449,0,set(),0,0,WARMSPRINGS-NSN.GOV,WARMSPRINGS-NSN.GOV,Native Sovereign Nation,Indian Affairs,The Confederated Tribes of Warm Springs,Warm Springs,OR,(blank)
4450,0,set(),0,0,WARNERROBINSGA.GOV,WARNERROBINSGA.GOV,City,Non-Federal Agency,City of Warner Robins,Warner Robins,GA,(blank)
4451,0,set(),0,0,WARRACRES-OK.GOV,WARRACRES-OK.GOV,City,Non-Federal Agency,City of Warr Acres Attn: Darryl Goodman,Warr Acres,OK,(blank)
4452,0,set(),0,0,WARREN-MA.GOV,WARREN-MA.GOV,City,Non-Federal Agency,Town of Warren,Warren,MA,(blank)
4453,10,"{'CVE-2017-15906', 'CVE-2016-0777', 'CVE-2011-4327', 'CVE-2014-1692', 'CVE-2012-0814', 'CVE-2016-10708', 'CVE-2011-5000', 'CVE-2010-5107', 'CVE-2010-4755', 'CVE-2010-4478'}",47.1,7.5,WARRENCOUNTYKY.GOV,WARRENCOUNTYKY.GOV,County,Non-Federal Agency,Warren County Kentucky,Bowling Green,KY,(blank)
4454,5,"{'CVE-2010-3972', 'CVE-2012-2531', 'CVE-2010-1899', 'CVE-2010-1256', 'CVE-2010-2730'}",34.2,10,WARRENCOUNTYNC.GOV,WARRENCOUNTYNC.GOV,County,Non-Federal Agency,Warren County,Warrenton,NC,(blank)
4455,0,set(),0,0,WARRENCOUNTYNY.GOV,WARRENCOUNTYNY.GOV,County,Non-Federal Agency,Warren County,Lake George,NY,(blank)
4456,0,set(),0,0,WARRENCOUNTYTN.GOV,WARRENCOUNTYTN.GOV,County,Non-Federal Agency,"Warren County, Tennessee",McMinnville,TN,(blank)
4457,0,set(),0,0,WARRENSBURG-MO.GOV,WARRENSBURG-MO.GOV,City,Non-Federal Agency,City of Warrensburg ,Warrensburg,MO,(blank)
4458,0,set(),0,0,WARRENTONGA.GOV,WARRENTONGA.GOV,City,Non-Federal Agency,CITY OF WARRENTON,WARRENTON,GA,(blank)
4459,0,set(),0,0,WARRENTONVA.GOV,WARRENTONVA.GOV,City,Non-Federal Agency,Town of Warrenton,Warrenton,VA,(blank)
4460,0,set(),0,0,WARRICKCOUNTY.GOV,WARRICKCOUNTY.GOV,County,Non-Federal Agency,Warrick County Commissioners,Boonville,IN,(blank)
4461,24,"{'CVE-2017-9798', 'CVE-2014-0231', 'CVE-2016-8612', 'CVE-2014-8109', 'CVE-2014-0226', 'CVE-2018-1312', 'CVE-2015-3185', 'CVE-2016-4975', 'CVE-2017-7679', 'CVE-2017-15710', 'CVE-2016-2161', 'CVE-2017-15715', 'CVE-2014-0118', 'CVE-2014-3523', 'CVE-2013-4352', 'CVE-2013-6438', 'CVE-2018-1283', 'CVE-2018-17199', 'CVE-2015-3184', 'CVE-2016-0736', 'CVE-2014-0098', 'CVE-2016-8743', 'CVE-2017-9788', 'CVE-2014-0117'}",121.9,7.5,WARTIMECONTRACTING.GOV,WARTIMECONTRACTING.GOV,Federal Agency - Executive,National Archives and Records Administration,National Archives and Records Administration,College Park,MD,(blank)
4462,0,set(),0,0,WARWICKRI.GOV,WARWICKRI.GOV,City,Non-Federal Agency,City of Warwick,Warwick,RI,(blank)
4463,0,set(),0,0,WASHAKIECOUNTYWY.GOV,WASHAKIECOUNTYWY.GOV,County,Non-Federal Agency,Washakie County,Worland,WY,(blank)
4464,0,set(),0,0,WASHINGTON-NC.GOV,WASHINGTON-NC.GOV,City,Non-Federal Agency,City of Washington,Washington,NC,(blank)
4465,10,"{'CVE-2017-15906', 'CVE-2016-0777', 'CVE-2011-4327', 'CVE-2014-1692', 'CVE-2012-0814', 'CVE-2016-10708', 'CVE-2011-5000', 'CVE-2010-5107', 'CVE-2010-4755', 'CVE-2010-4478'}",47.1,7.5,WASHINGTONBORO-NJ.GOV,WASHINGTONBORO-NJ.GOV,City,Non-Federal Agency,BOROUGH OF WASHINGTON,Washington,NJ,(blank)
4466,0,set(),0,0,WASHINGTONCOUNTYGA.GOV,WASHINGTONCOUNTYGA.GOV,County,Non-Federal Agency,Washington County Board of Commissioners ,Sandersville,GA,(blank)
4467,0,set(),0,0,WASHINGTONCOUNTYKS.GOV,WASHINGTONCOUNTYKS.GOV,County,Non-Federal Agency,Washington County,Washington,KS,(blank)
4468,0,set(),0,0,WASHINGTONCOUNTYNY.GOV,WASHINGTONCOUNTYNY.GOV,County,Non-Federal Agency,Washington County,Fort Edward,NY,(blank)
4469,0,set(),0,0,WASHINGTONISLAND-WI.GOV,WASHINGTONISLAND-WI.GOV,City,Non-Federal Agency,Town of Washington,Washington Island,WI,(blank)
4470,0,set(),0,0,WASHINGTONNC.GOV,WASHINGTONNC.GOV,State/Local Govt,Non-Federal Agency,City of Washington,Washington,NC,(blank)
4471,10,"{'CVE-2017-15906', 'CVE-2016-0777', 'CVE-2011-4327', 'CVE-2014-1692', 'CVE-2012-0814', 'CVE-2016-10708', 'CVE-2011-5000', 'CVE-2010-5107', 'CVE-2010-4755', 'CVE-2010-4478'}",47.1,7.5,WASHINGTONPA.GOV,WASHINGTONPA.GOV,City,Non-Federal Agency,Washington Police Department,Washington,PA,(blank)
4472,0,set(),0,0,WASHINGTONVA.GOV,WASHINGTONVA.GOV,City,Non-Federal Agency,Town of Washington Virginia,Washington,VA,(blank)
4473,2,"{'CVE-2018-15919', 'CVE-2017-15906'}",10,5,WASHINGTONVILLE-NY.GOV,WASHINGTONVILLE-NY.GOV,City,Non-Federal Agency,Village of Wasingtonville,Washingtonville,NY,(blank)
4474,0,set(),0,0,WASHINGTONVIRGINIA.GOV,WASHINGTONVIRGINIA.GOV,City,Non-Federal Agency,Town of Washington Virginia,Washington,VA,(blank)
4475,0,set(),0,0,WASHMO.GOV,WASHMO.GOV,City,Non-Federal Agency,City of Washington Missouri,Washington,MO,(blank)
4476,0,set(),0,0,WASHOZWI.GOV,WASHOZWI.GOV,County,Non-Federal Agency,Washington County,West Bend,WI,(blank)
4477,0,set(),0,0,WASHTENAWCOUNTY-MI.GOV,WASHTENAWCOUNTY-MI.GOV,County,Non-Federal Agency,Washtenaw County Government,Ann Arbor,MI,(blank)
4478,11,"{'CVE-2017-15906', 'CVE-2016-0777', 'CVE-2011-4327', 'CVE-2014-1692', 'CVE-2012-0814', 'CVE-2018-15473', 'CVE-2016-10708', 'CVE-2011-5000', 'CVE-2010-5107', 'CVE-2010-4755', 'CVE-2010-4478'}",52.1,7.5,WATCHUNGNJ.GOV,WATCHUNGNJ.GOV,City,Non-Federal Agency,Borough of Watchung,Watchung,NJ,(blank)
4479,0,set(),0,0,WATERBORO-ME.GOV,WATERBORO-ME.GOV,City,Non-Federal Agency,"Town of Waterboro, Maine",East Waterboro,ME,(blank)
4480,0,set(),0,0,WATERFORDMI.GOV,WATERFORDMI.GOV,City,Non-Federal Agency,Charter Township of Waterford,Waterford,MI,(blank)
4481,0,set(),0,0,WATERLOOIN.GOV,WATERLOOIN.GOV,City,Non-Federal Agency,Town of Waterloo,Waterloo,IN,(blank)
4482,0,set(),0,0,WATERMONITOR.GOV,WATERMONITOR.GOV,Federal Agency - Executive,Department of the Interior,U.S. Geological Survey,Reston,VA,(blank)
4483,0,set(),0,0,WATERTOWN-MA.GOV,WATERTOWN-MA.GOV,City,Non-Federal Agency,Town of Watertown ,Watertown,MA,(blank)
4484,10,"{'CVE-2009-4444', 'CVE-2003-1582', 'CVE-2009-1535', 'CVE-2009-2521', 'CVE-2008-1446', 'CVE-2010-1899', 'CVE-2010-1256', 'CVE-2017-7269', 'CVE-2007-1278', 'CVE-2009-3023'}",64.2,10,WATERTOWN-NY.GOV,WATERTOWN-NY.GOV,City,Non-Federal Agency,City of Watertown,Watertown,NY,(blank)
4485,11,"{'CVE-2017-15906', 'CVE-2016-0777', 'CVE-2011-4327', 'CVE-2014-1692', 'CVE-2012-0814', 'CVE-2018-15473', 'CVE-2016-10708', 'CVE-2011-5000', 'CVE-2010-5107', 'CVE-2010-4755', 'CVE-2010-4478'}",52.1,7.5,WATERVILLE-ME.GOV,WATERVILLE-ME.GOV,City,Non-Federal Agency,City of Waterville,Waterville,ME,(blank)
4486,0,set(),0,0,WAUCONDA-IL.GOV,WAUCONDA-IL.GOV,City,Non-Federal Agency,Village of Wauconda,Wauconda,IL,(blank)
4487,0,set(),0,0,WAUKEGANIL.GOV,WAUKEGANIL.GOV,City,Non-Federal Agency,City of Waukegan,Waukegan,IL,(blank)
4488,0,set(),0,0,WAUKESHACOUNTY-WI.GOV,WAUKESHACOUNTY-WI.GOV,County,Non-Federal Agency,Waukesha County Government,Waukesha,WI,(blank)
4489,0,set(),0,0,WAUKESHACOUNTY.GOV,WAUKESHACOUNTY.GOV,County,Non-Federal Agency,Waukesha County Government,Waukesha,WI,(blank)
4490,0,set(),0,0,WAUWATOSAWI.GOV,WAUWATOSAWI.GOV,State/Local Govt,Non-Federal Agency,City of Wauwatosa,Wauwatosa,WI,itsecurity@wauwatosa.net
4491,23,"{'CVE-2017-9798', 'CVE-2014-0231', 'CVE-2016-8612', 'CVE-2014-8109', 'CVE-2014-0226', 'CVE-2018-1312', 'CVE-2015-3185', 'CVE-2016-4975', 'CVE-2017-7679', 'CVE-2017-15710', 'CVE-2016-2161', 'CVE-2017-15715', 'CVE-2014-0118', 'CVE-2014-3523', 'CVE-2013-6438', 'CVE-2018-1283', 'CVE-2018-17199', 'CVE-2015-3184', 'CVE-2016-0736', 'CVE-2014-0098', 'CVE-2016-8743', 'CVE-2017-9788', 'CVE-2014-0117'}",117.6,7.5,WAVELAND-MS.GOV,WAVELAND-MS.GOV,City,Non-Federal Agency,City of Waveland,Waveland,MS,(blank)
4492,10,"{'CVE-2017-15906', 'CVE-2016-0777', 'CVE-2011-4327', 'CVE-2014-1692', 'CVE-2012-0814', 'CVE-2016-10708', 'CVE-2011-5000', 'CVE-2010-5107', 'CVE-2010-4755', 'CVE-2010-4478'}",47.1,7.5,WAVERLYHALLGA.GOV,WAVERLYHALLGA.GOV,City,Non-Federal Agency,Town of Waverly Hall,Waverly Hall,GA,(blank)
4493,0,set(),0,0,WAYNECOUNTY-GA.GOV,WAYNECOUNTY-GA.GOV,County,Non-Federal Agency,WAYNE COUNTY SHERIFFS OFFICE ,JESUP,GA,(blank)
4494,0,set(),0,0,WAYNECOUNTYPA.GOV,WAYNECOUNTYPA.GOV,County,Non-Federal Agency,Wayne County Courthouse,Honesdale,PA,dford@waynecountypa.gov
4495,10,"{'CVE-2017-15906', 'CVE-2016-0777', 'CVE-2011-4327', 'CVE-2014-1692', 'CVE-2012-0814', 'CVE-2016-10708', 'CVE-2011-5000', 'CVE-2010-5107', 'CVE-2010-4755', 'CVE-2010-4478'}",47.1,7.5,WAYNESBURGPA.GOV,WAYNESBURGPA.GOV,City,Non-Federal Agency,Waynesburg Borough,Waynesburg,PA,(blank)
4496,0,set(),0,0,WAYNESVILLENC.GOV,WAYNESVILLENC.GOV,City,Non-Federal Agency,Town of Waynesville,Waynesville,NC,(blank)
4497,5,"{'CVE-2010-3972', 'CVE-2012-2531', 'CVE-2010-1899', 'CVE-2010-1256', 'CVE-2010-2730'}",34.2,10,WDOL.GOV,WDOL.GOV,Federal Agency - Executive,Department of Commerce,National Technical Information Service,Alexandria,VA,(blank)
4498,0,set(),0,0,WEAKLEYCOUNTYTN.GOV,WEAKLEYCOUNTYTN.GOV,County,Non-Federal Agency,Weakley County Government Department of Finance,Dresden,TN,(blank)
4499,0,set(),0,0,WEATHER.GOV,WEATHER.GOV,Federal Agency - Executive,Department of Commerce,National Oceanic and Atmospheric Administration,Silver Spring,MD,security@noaa.gov
4500,0,set(),0,0,WEATHERFORDTX.GOV,WEATHERFORDTX.GOV,City,Non-Federal Agency,City of Weatherford,Weatherford,TX,(blank)
4501,10,"{'CVE-2017-15906', 'CVE-2016-0777', 'CVE-2011-4327', 'CVE-2014-1692', 'CVE-2012-0814', 'CVE-2016-10708', 'CVE-2011-5000', 'CVE-2010-5107', 'CVE-2010-4755', 'CVE-2010-4478'}",47.1,7.5,WEATHERLYPA.GOV,WEATHERLYPA.GOV,City,Non-Federal Agency,City of Weatherly,Weatherly,PA,(blank)
4502,0,set(),0,0,WEBBCOUNTYTX.GOV,WEBBCOUNTYTX.GOV,County,Non-Federal Agency,Webb County,Laredo,TX,(blank)
4503,2,"{'CVE-2019-11034', 'CVE-2019-11035'}",12.8,6.4,WEBERCOUNTYUTAH.GOV,WEBERCOUNTYUTAH.GOV,County,Non-Federal Agency,Weber County ,Ogden,UT,(blank)
4504,0,set(),0,0,WEBHARVEST.GOV,WEBHARVEST.GOV,Federal Agency - Executive,National Archives and Records Administration,National Archives and Records Administration,College Park,MD,(blank)
4505,0,set(),0,0,WEBSTER-MA.GOV,WEBSTER-MA.GOV,City,Non-Federal Agency,Town of Webster,Webster,MA,(blank)
4506,0,set(),0,0,WEBSTER-NH.GOV,WEBSTER-NH.GOV,City,Non-Federal Agency,Town of Webster,Webster,NH,(blank)
4507,0,set(),0,0,WEBSTERCOUNTYMO.GOV,WEBSTERCOUNTYMO.GOV,County,Non-Federal Agency,Webster County,Marshfield,MO,(blank)
4508,0,set(),0,0,WELAKA-FL.GOV,WELAKA-FL.GOV,City,Non-Federal Agency,Town of Welaka,Welaka,FL,(blank)
4509,0,set(),0,0,WELLESLEYMA.GOV,WELLESLEYMA.GOV,City,Non-Federal Agency,Town of Wellesley,Wellesley,MA,(blank)
4510,0,set(),0,0,WELLFLEET-MA.GOV,WELLFLEET-MA.GOV,City,Non-Federal Agency,Town of Wellfleet,Wellfleet,MA,dan.hoort@wellfleet-ma.gov
4511,0,set(),0,0,WELLINGTONCOLORADO.GOV,WELLINGTONCOLORADO.GOV,City,Non-Federal Agency,Town of Wellington  ,Wellington,CO,(blank)
4512,0,set(),0,0,WELLINGTONFL.GOV,WELLINGTONFL.GOV,City,Non-Federal Agency,Village of Wellington,Wellington,FL,domainsec@wellingtonfl.gov
4513,0,set(),0,0,WENATCHEEWA.GOV,WENATCHEEWA.GOV,City,Non-Federal Agency,City of Wenatchee,Wenatchee,WA,ISSecurity@WenatcheeWA.Gov
4514,0,set(),0,0,WENHAMMA.GOV,WENHAMMA.GOV,City,Non-Federal Agency,Town of Wenham,Wenham,MA,(blank)
4515,0,set(),0,0,WESTALLISWI.GOV,WESTALLISWI.GOV,City,Non-Federal Agency,City of West Allis,West Allis,WI,(blank)
4516,0,set(),0,0,WESTAMPTONNJ.GOV,WESTAMPTONNJ.GOV,City,Non-Federal Agency,Township of Westampton,Westampton,NJ,(blank)
4517,0,set(),0,0,WESTBOYLSTON-MA.GOV,WESTBOYLSTON-MA.GOV,City,Non-Federal Agency,Town of West Boylston,West Boylston,MA,(blank)
4518,26,"{'CVE-2019-9637', 'CVE-2016-7478', 'CVE-2015-8994', 'CVE-2019-9641', 'CVE-2019-9020', 'CVE-2018-19520', 'CVE-2018-10545', 'CVE-2018-10549', 'CVE-2019-6977', 'CVE-2018-10547', 'CVE-2019-9021', 'CVE-2019-9638', 'CVE-2017-16642', 'CVE-2018-10546', 'CVE-2018-19935', 'CVE-2018-19395', 'CVE-2018-14883', 'CVE-2019-9024', 'CVE-2019-9639', 'CVE-2018-19396', 'CVE-2018-10548', 'CVE-2014-9767', 'CVE-2019-9023', 'CVE-2018-15132', 'CVE-2018-20783', 'CVE-2018-17082'}",146.7,7.5,WESTBUECHELKY.GOV,WESTBUECHELKY.GOV,City,Non-Federal Agency,CITY OF WEST BUECHEL KENTUCKY,WEST BUECHEL,KY,support@kytech.net
4519,0,set(),0,0,WESTCOLUMBIASC.GOV,WESTCOLUMBIASC.GOV,City,Non-Federal Agency,"City of West Columbia, SC",West Columbia,SC,(blank)
4520,0,set(),0,0,WESTERLYRI.GOV,WESTERLYRI.GOV,City,Non-Federal Agency,Town of Westerly,Westerly,RI,(blank)
4521,0,set(),0,0,WESTFARGOND.GOV,WESTFARGOND.GOV,City,Non-Federal Agency,State of ND,Bismarck,ND,(blank)
4522,0,set(),0,0,WESTFIELDNJ.GOV,WESTFIELDNJ.GOV,City,Non-Federal Agency,Town of Westfield,Westfield,NJ,(blank)
4523,0,set(),0,0,WESTFORDMA.GOV,WESTFORDMA.GOV,City,Non-Federal Agency,"Town of Westford, MA",Westford,MA,(blank)
4524,0,set(),0,0,WESTFORKAR.GOV,WESTFORKAR.GOV,City,Non-Federal Agency,CITY OF WEST FORK,West Fork,AR,(blank)
4525,20,"{'CVE-2017-3167', 'CVE-2016-4979', 'CVE-2017-15715', 'CVE-2017-15710', 'CVE-2018-1283', 'CVE-2016-1546', 'CVE-2019-0211', 'CVE-2017-9798', 'CVE-2018-1312', 'CVE-2016-8743', 'CVE-2018-1333', 'CVE-2018-17199', 'CVE-2016-4975', 'CVE-2017-3169', 'CVE-2018-11763', 'CVE-2017-7679', 'CVE-2016-8612', 'CVE-2017-9788', 'CVE-2016-8740', 'CVE-2017-7668'}",111.9,7.5,WESTFRANKFORT-IL.GOV,WESTFRANKFORT-IL.GOV,City,Non-Federal Agency,City of West Frankfort,West Frankfort,IL,(blank)
4526,0,set(),0,0,WESTHARTFORDCT.GOV,WESTHARTFORDCT.GOV,City,Non-Federal Agency,Town of West Hartford,West Hartford,CT,(blank)
4527,0,set(),0,0,WESTJEFFERSONOHIO.GOV,WESTJEFFERSONOHIO.GOV,City,Non-Federal Agency,Village of West Jefferson,West Jefferson,OH,(blank)
4528,0,set(),0,0,WESTLINNOREGON.GOV,WESTLINNOREGON.GOV,City,Non-Federal Agency,City of West Linn,West Linn,OR,(blank)
4529,0,set(),0,0,WESTMEMPHISAR.GOV,WESTMEMPHISAR.GOV,City,Non-Federal Agency,City of West Memphis,West Memephis,AR,(blank)
4530,11,"{'CVE-2017-15906', 'CVE-2016-0777', 'CVE-2011-4327', 'CVE-2014-1692', 'CVE-2012-0814', 'CVE-2018-15473', 'CVE-2016-10708', 'CVE-2011-5000', 'CVE-2010-5107', 'CVE-2010-4755', 'CVE-2010-4478'}",52.1,7.5,WESTMILTONOHIO.GOV,WESTMILTONOHIO.GOV,City,Non-Federal Agency,Municipality of West Milton,West Milton,OH,(blank)
4531,0,set(),0,0,WESTMINSTER-CA.GOV,WESTMINSTER-CA.GOV,City,Non-Federal Agency,City of Westminster,Westminster,CA,(blank)
4532,0,set(),0,0,WESTMINSTER-MA.GOV,WESTMINSTER-MA.GOV,City,Non-Federal Agency,"Town of Westminster, Massachusetts",Westminster,MA,(blank)
4533,0,set(),0,0,WESTMINSTERMD.GOV,WESTMINSTERMD.GOV,City,Non-Federal Agency,City of Westminster,Westminster,MD,(blank)
4534,0,set(),0,0,WESTMORELANDTN.GOV,WESTMORELANDTN.GOV,City,Non-Federal Agency,City of Westmoreland,Westmoreland,TN,(blank)
4535,2,"{'CVE-2017-9798', 'CVE-2016-8612'}",8.3,5,WESTONCT.GOV,WESTONCT.GOV,City,Non-Federal Agency,Town of Weston,Weston,CT,juscelinoacevedo@westonps.org
4536,0,set(),0,0,WESTONWI.GOV,WESTONWI.GOV,City,Non-Federal Agency,Village of Weston,Weston,WI,(blank)
4537,0,set(),0,0,WESTPORT-MA.GOV,WESTPORT-MA.GOV,City,Non-Federal Agency,"Town Of Westport, MA",Westport,MA,(blank)
4538,0,set(),0,0,WESTPORTCT.GOV,WESTPORTCT.GOV,City,Non-Federal Agency,Town of Westport,Westport,CT,ezhang@westportct.gov
4539,0,set(),0,0,WESTSTOCKBRIDGE-MA.GOV,WESTSTOCKBRIDGE-MA.GOV,City,Non-Federal Agency,Town of West Stockbridge,West Stockbridge,MA,(blank)
4540,0,set(),0,0,WESTTISBURY-MA.GOV,WESTTISBURY-MA.GOV,City,Non-Federal Agency,Town of West Tisbury,West Tisbury,MA,(blank)
4541,0,set(),0,0,WESTUTX.GOV,WESTUTX.GOV,City,Non-Federal Agency,City of West University Place,West University Place ,TX,(blank)
4542,10,"{'CVE-2017-15906', 'CVE-2016-0777', 'CVE-2011-4327', 'CVE-2014-1692', 'CVE-2012-0814', 'CVE-2016-10708', 'CVE-2011-5000', 'CVE-2010-5107', 'CVE-2010-4755', 'CVE-2010-4478'}",47.1,7.5,WESTVIRGINIA.GOV,WESTVIRGINIA.GOV,State/Local Govt,Non-Federal Agency,West Virginia Department of Commerce,Charleston,WV,(blank)
4543,0,set(),0,0,WESTWOODNJ.GOV,WESTWOODNJ.GOV,City,Non-Federal Agency,Borough of Westwood,Westwood,NJ,(blank)
4544,0,set(),0,0,WESTYORKPA.GOV,WESTYORKPA.GOV,City,Non-Federal Agency,West York Borough,York,PA,(blank)
4545,0,set(),0,0,WETHERSFIELDCT.GOV,WETHERSFIELDCT.GOV,City,Non-Federal Agency,Town of Wethersfield,Wethersfield,CT,abuse@wethersfieldct.gov
4546,0,set(),0,0,WGDP.GOV,WGDP.GOV,Federal Agency - Executive,Executive Office of the President,Executive Office of the President,Washington,DC,(blank)
4547,0,set(),0,0,WH.GOV,WH.GOV,Federal Agency - Executive,Executive Office of the President,Office of Administration,Washington,DC,(blank)
4548,0,set(),0,0,WHEELINGIL.GOV,WHEELINGIL.GOV,City,Non-Federal Agency,Village of Wheeling,Wheeling,IL,(blank)
4549,0,set(),0,0,WHEELINGWV.GOV,WHEELINGWV.GOV,City,Non-Federal Agency,City of Wheeling,Wheeling,WV,(blank)
4550,0,set(),0,0,WHISTLEBLOWER.GOV,WHISTLEBLOWER.GOV,Federal Agency - Executive,Commodity Futures Trading Commission,U.S. Commodity Futures Trading Commission,Washington,DC,(blank)
4551,0,set(),0,0,WHISTLEBLOWERS.GOV,WHISTLEBLOWERS.GOV,Federal Agency - Executive,Department of Labor,Department of Labor,Washington,DC,(blank)
4552,5,"{'CVE-2010-3972', 'CVE-2012-2531', 'CVE-2010-1899', 'CVE-2010-1256', 'CVE-2010-2730'}",34.2,10,WHITECOUNTY-IL.GOV,WHITECOUNTY-IL.GOV,County,Non-Federal Agency,White County Government,Carmi,IL,(blank)
4553,0,set(),0,0,WHITECOUNTYGA.GOV,WHITECOUNTYGA.GOV,County,Non-Federal Agency,White County Board of Commissioners,Cleveland,GA,(blank)
4554,0,set(),0,0,WHITECOUNTYTN.GOV,WHITECOUNTYTN.GOV,County,Non-Federal Agency,White County Tennessee,Sparta,TN,(blank)
4555,0,set(),0,0,WHITEEARTH-NSN.GOV,WHITEEARTH-NSN.GOV,Native Sovereign Nation,Indian Affairs,White Earth Reservation Tribal Council,Ogema,MN,(blank)
4556,0,set(),0,0,WHITEHOUSE.GOV,WHITEHOUSE.GOV,Federal Agency - Executive,Executive Office of the President,White House,Washington,DC,(blank)
4557,0,set(),0,0,WHITEHOUSECONFERENCEONAGING.GOV,WHITEHOUSECONFERENCEONAGING.GOV,Federal Agency - Executive,Department of Health and Human Services,Administration for Community Living,Washington,DC,(blank)
4558,0,set(),0,0,WHITEHOUSEDRUGPOLICY.GOV,WHITEHOUSEDRUGPOLICY.GOV,Federal Agency - Executive,Executive Office of the President,Executive Office of the President,Washington,DC,(blank)
4559,0,set(),0,0,WHITEHOUSEOH.GOV,WHITEHOUSEOH.GOV,City,Non-Federal Agency,Village of Whitehouse,Whitehouse,OH,(blank)
4560,0,set(),0,0,WHITEPLAINSNY.GOV,WHITEPLAINSNY.GOV,City,Non-Federal Agency,City of White Plains,White Plains,NY,(blank)
4561,0,set(),0,0,WHITEVILLENC.GOV,WHITEVILLENC.GOV,City,Non-Federal Agency,City of Whiteville,Whiteville,NC,(blank)
4562,0,set(),0,0,WHITEWATER-WI.GOV,WHITEWATER-WI.GOV,City,Non-Federal Agency,City of Whitewater,Whitewater,WI,(blank)
4563,0,set(),0,0,WHITMAN-MA.GOV,WHITMAN-MA.GOV,State/Local Govt,Non-Federal Agency,Town of Whitman,Whitman,MA,(blank)
